  KIC = 8120608; CANDIDATE = 5
  PERIOD = 129.94545101; BKJD0 = 176.82719002

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.63368010  -0.347788  -6.16435040e-04   2.68668854e-04   0.00000000e+00
  131.65411460  -0.347631  -3.43274641e-04   2.69051127e-04   0.00000000e+00
  131.67454921  -0.347474   7.78010577e-05   2.68867022e-04   0.00000000e+00
  131.69498372  -0.347317   5.70860569e-04   2.69004324e-04   0.00000000e+00
  131.71541813  -0.347159   4.90588335e-04   2.68961767e-04   0.00000000e+00
  131.73585263  -0.347002   5.44640924e-04   2.69121409e-04   0.00000000e+00
  131.75628724  -0.346845   1.35345525e-04   2.68831973e-04   0.00000000e+00
  131.77672165  -0.346688  -1.51269745e-04   2.68903209e-04   0.00000000e+00
  131.79715615  -0.346530   6.38030543e-05   2.68824003e-04   0.00000000e+00
  131.81759076  -0.346373   1.04685934e-05   2.68876469e-04   0.00000000e+00
  131.83802517  -0.346216  -1.92726265e-04   2.68736459e-04   0.00000000e+00
  131.85845968  -0.346059   8.87714146e-05   2.68669316e-04   0.00000000e+00
  131.87889418  -0.345901   2.52876791e-04   2.69054450e-04   0.00000000e+00
  131.89932869  -0.345744   4.48070764e-05   2.68650268e-04   0.00000000e+00
  131.91976320  -0.345587   4.85678392e-04   2.68898655e-04   0.00000000e+00
  131.94019770  -0.345430   2.41745629e-04   2.68837912e-04   0.00000000e+00
  131.96063221  -0.345272  -1.07392062e-04   2.68848744e-04   0.00000000e+00
  131.98106672  -0.345115   4.36189854e-04   2.68820772e-04   0.00000000e+00
  132.00150123  -0.344958  -1.40138226e-04   2.68719873e-04   0.00000000e+00
  132.02193563  -0.344800   3.33989219e-04   2.68798463e-04   0.00000000e+00
  132.04237024  -0.344643   6.24794332e-04   2.68819880e-04   0.00000000e+00
  132.06280475  -0.344486  -3.62210881e-06   2.69060605e-04   0.00000000e+00
  132.08323915  -0.344329   3.25049267e-04   2.69254957e-04   0.00000000e+00
  132.10367366  -0.344171   9.37146131e-06   2.69154026e-04   0.00000000e+00
  132.12410827  -0.344014   1.79964246e-04   2.68948627e-04   0.00000000e+00
  132.14454267  -0.343857  -5.07255025e-04   2.69141379e-04   0.00000000e+00
  132.16497718  -0.343700  -1.92431845e-04   2.69002724e-04   0.00000000e+00
  132.18541179  -0.343542  -2.73830581e-04   2.68726243e-04   0.00000000e+00
  132.20584629  -0.343385  -4.59958057e-04   2.68964413e-04   0.00000000e+00
  132.22628070  -0.343228  -1.64855739e-04   2.69204153e-04   0.00000000e+00
  132.24671521  -0.343071   2.82769737e-04   2.69026818e-04   0.00000000e+00
  132.26714982  -0.342913  -2.65419564e-04   2.69233047e-04   0.00000000e+00
  132.28758422  -0.342756  -4.83390066e-04   2.69101746e-04   0.00000000e+00
  132.30801873  -0.342599   4.72961940e-04   2.69280620e-04   0.00000000e+00
  132.32845334  -0.342442   3.11612842e-04   2.69316099e-04   0.00000000e+00
  132.34888774  -0.342284  -3.00123139e-04   2.69199691e-04   0.00000000e+00
  132.36932225  -0.342127  -2.65988049e-04   2.69201261e-04   0.00000000e+00
  132.38975676  -0.341970   2.10415066e-04   2.69198030e-04   0.00000000e+00
  132.41019126  -0.341813  -1.37991338e-04   2.69201137e-04   0.00000000e+00
  132.43062577  -0.341655  -3.97886811e-05   2.69422815e-04   0.00000000e+00
  132.45106028  -0.341498  -6.82445408e-04   2.69409306e-04   0.00000000e+00
  132.47149488  -0.341341   1.66000823e-05   2.69184706e-04   0.00000000e+00
  132.49192929  -0.341184   1.89975763e-04   2.69167535e-04   0.00000000e+00
  132.51236380  -0.341026  -1.16378761e-04   2.69108823e-04   0.00000000e+00
  132.53279820  -0.340869   1.08189636e-05   2.69135748e-04   0.00000000e+00
  132.55323281  -0.340712  -5.52867503e-04   2.69345640e-04   0.00000000e+00
  132.57366732  -0.340555   5.47514388e-04   2.69377981e-04   0.00000000e+00
  132.59410172  -0.340397   2.59225445e-04   2.69190768e-04   0.00000000e+00
  132.61453633  -0.340240   2.21408008e-04   2.69317884e-04   0.00000000e+00
  132.63497084  -0.340083   2.86018153e-05   2.69471003e-04   0.00000000e+00
  132.65540534  -0.339926  -4.59443993e-04   2.69450170e-04   0.00000000e+00
  132.67583975  -0.339768   2.52045163e-04   2.69297329e-04   0.00000000e+00
  132.69627435  -0.339611   2.40300723e-04   2.69346471e-04   0.00000000e+00
  132.71670886  -0.339454   3.39478852e-04   2.69196306e-04   0.00000000e+00
  132.73714327  -0.339297   3.08279464e-04   2.69342778e-04   0.00000000e+00
  132.75757787  -0.339139   4.18914581e-04   2.69197691e-04   0.00000000e+00
  132.77801238  -0.338982  -1.33429703e-04   2.69167689e-04   0.00000000e+00
  132.79844679  -0.338825   2.81535331e-04   2.68984138e-04   0.00000000e+00
  132.81888129  -0.338668  -8.71501477e-04   2.69126301e-04   0.00000000e+00
  132.83931590  -0.338510  -1.33137885e-04   2.69062389e-04   0.00000000e+00
  132.85975031  -0.338353  -3.76620566e-04   2.68954351e-04   0.00000000e+00
  132.88018481  -0.338196  -3.16210677e-04   2.68783724e-04   0.00000000e+00
  132.90061942  -0.338039  -5.40676228e-05   2.69045373e-04   0.00000000e+00
  132.92105382  -0.337881   3.98844455e-05   2.69064697e-04   0.00000000e+00
  132.94148833  -0.337724  -7.02042085e-05   2.69025925e-04   0.00000000e+00
  132.96192284  -0.337567  -2.48256985e-04   2.69069128e-04   0.00000000e+00
  132.98235744  -0.337410  -4.53597207e-05   2.69035957e-04   0.00000000e+00
  133.00279185  -0.337252   9.69504967e-05   2.69071713e-04   0.00000000e+00
  133.02322635  -0.337095  -1.67192111e-04   2.68912009e-04   0.00000000e+00
  133.04366086  -0.336938   9.02373628e-05   2.69163996e-04   0.00000000e+00
  133.06409537  -0.336781   1.26470608e-04   2.69283359e-04   0.00000000e+00
  133.08452987  -0.336623  -6.11386288e-05   2.69343024e-04   0.00000000e+00
  133.10496438  -0.336466   5.50353386e-05   2.69209446e-04   0.00000000e+00
  133.12539889  -0.336309   2.27039762e-04   2.69256988e-04   0.00000000e+00
  133.14583339  -0.336151  -2.14373144e-04   2.69356595e-04   0.00000000e+00
  133.16626790  -0.335994   1.59557128e-04   2.69163473e-04   0.00000000e+00
  133.18670240  -0.335837   3.56077125e-04   2.69419861e-04   0.00000000e+00
  133.47278538  -0.333635  -8.74761316e-05   2.69375580e-04   0.00000000e+00
  133.49321999  -0.333478  -1.48928763e-04   2.69195691e-04   0.00000000e+00
  133.51365450  -0.333321   6.38813034e-04   2.69351979e-04   0.00000000e+00
  133.53408890  -0.333164  -2.59353834e-04   2.69355641e-04   0.00000000e+00
  133.55452351  -0.333006  -7.97003917e-04   2.69325885e-04   0.00000000e+00
  133.57495801  -0.332849   2.70428768e-04   2.69259234e-04   0.00000000e+00
  133.59539242  -0.332692   2.01806675e-04   2.69249233e-04   0.00000000e+00
  133.61582692  -0.332535   2.04370435e-06   2.69326254e-04   0.00000000e+00
  133.63626153  -0.332377  -6.48701682e-05   2.69153626e-04   0.00000000e+00
  133.65669603  -0.332220  -1.29449009e-04   2.69256372e-04   0.00000000e+00
  133.67713044  -0.332063   6.42626312e-04   2.69294467e-04   0.00000000e+00
  133.69756505  -0.331906  -7.71632045e-05   2.69384104e-04   0.00000000e+00
  133.71799955  -0.331748  -1.14709864e-05   2.69262311e-04   0.00000000e+00
  133.73843396  -0.331591  -1.34142221e-04   2.69252249e-04   0.00000000e+00
  133.75886846  -0.331434   9.84944002e-05   2.69228832e-04   0.00000000e+00
  133.77930307  -0.331277  -6.27518331e-06   2.69154519e-04   0.00000000e+00
  133.79973747  -0.331119   3.01736696e-04   2.69292559e-04   0.00000000e+00
  133.82017198  -0.330962   2.29173115e-04   2.68968629e-04   0.00000000e+00
  133.84060648  -0.330805  -5.34348102e-05   2.69292929e-04   0.00000000e+00
  133.86104099  -0.330648   3.30013751e-04   2.69352194e-04   0.00000000e+00
  133.88147549  -0.330490  -4.62902474e-04   2.69278066e-04   0.00000000e+00
  133.90191000  -0.330333  -8.24414256e-05   2.69380596e-04   0.00000000e+00
  133.92234450  -0.330176  -4.06897528e-04   2.69190183e-04   0.00000000e+00
  133.94277901  -0.330019   2.57613795e-04   2.69430538e-04   0.00000000e+00
  133.96321351  -0.329861  -1.59084750e-04   2.69496481e-04   0.00000000e+00
  133.98364792  -0.329704  -1.70147191e-05   2.69396751e-04   0.00000000e+00
  134.00408252  -0.329547   1.76726785e-04   2.69167227e-04   0.00000000e+00
  134.02451703  -0.329390   4.08085475e-04   2.69365795e-04   0.00000000e+00
  134.04495143  -0.329232   4.12902505e-05   2.69418445e-04   0.00000000e+00
  134.06538604  -0.329075   2.51964534e-04   2.69217139e-04   0.00000000e+00
  134.08582054  -0.328918  -9.87663345e-06   2.69205784e-04   0.00000000e+00
  134.10625495  -0.328761  -2.68859774e-04   2.69226524e-04   0.00000000e+00
  134.12668945  -0.328603   1.41495428e-04   2.69493466e-04   0.00000000e+00
  134.14712406  -0.328446  -2.06667309e-04   2.69416229e-04   0.00000000e+00
  134.16755856  -0.328289  -5.62266701e-04   2.69373273e-04   0.00000000e+00
  134.18799297  -0.328132  -3.26325651e-04   2.69532853e-04   0.00000000e+00
  134.20842757  -0.327974   6.70236813e-05   2.69396997e-04   0.00000000e+00
  134.22886208  -0.327817   1.69709224e-04   2.69421584e-04   0.00000000e+00
  134.24929648  -0.327660  -1.98670890e-04   2.69508236e-04   0.00000000e+00
  134.26973099  -0.327502   4.01704602e-04   2.69410629e-04   0.00000000e+00
  134.29016559  -0.327345   5.34388739e-04   2.69412691e-04   0.00000000e+00
  134.31060000  -0.327188  -1.22829632e-04   2.69352656e-04   0.00000000e+00
  134.33103450  -0.327031  -8.67506219e-05   2.69500112e-04   0.00000000e+00
  134.35146911  -0.326873   3.36404006e-04   2.69451494e-04   0.00000000e+00
  134.37190351  -0.326716   3.46454688e-04   2.69424722e-04   0.00000000e+00
  134.41277252  -0.326402   2.81941197e-05   2.69398782e-04   0.00000000e+00
  134.43320702  -0.326244  -2.20317467e-04   2.69356041e-04   0.00000000e+00
  134.45364153  -0.326087   2.40741786e-04   2.69444262e-04   0.00000000e+00
  134.47407603  -0.325930   4.55271260e-05   2.69439493e-04   0.00000000e+00
  134.49451064  -0.325773   7.13654011e-05   2.69315730e-04   0.00000000e+00
  134.51494504  -0.325615   1.12449388e-04   2.69411275e-04   0.00000000e+00
  134.53537955  -0.325458   4.21181843e-04   2.69314530e-04   0.00000000e+00
  134.55581395  -0.325301  -1.91133916e-04   2.69272804e-04   0.00000000e+00
  134.57624855  -0.325144  -3.61823820e-04   2.69304622e-04   0.00000000e+00
  134.59668306  -0.324986  -3.34171298e-04   2.69321269e-04   0.00000000e+00
  134.61711746  -0.324829  -1.83467440e-04   2.69183444e-04   0.00000000e+00
  134.63755197  -0.324672  -6.26792096e-04   2.69261480e-04   0.00000000e+00
  134.65798657  -0.324515  -1.37618290e-04   2.69298221e-04   0.00000000e+00
  134.67842108  -0.324357  -4.37212818e-04   2.69231232e-04   0.00000000e+00
  134.69885558  -0.324200   9.92446860e-04   2.69283728e-04   0.00000000e+00
  134.71929008  -0.324043   3.85440696e-04   2.69326562e-04   0.00000000e+00
  134.73972459  -0.323886  -2.41812350e-05   2.69368134e-04   0.00000000e+00
  134.76015899  -0.323728   1.96043877e-04   2.69395182e-04   0.00000000e+00
  134.78059350  -0.323571  -1.82030237e-04   2.69332531e-04   0.00000000e+00
  134.80102810  -0.323414  -6.61226444e-05   2.69349856e-04   0.00000000e+00
  134.82146260  -0.323257  -1.29633761e-04   2.69395736e-04   0.00000000e+00
  134.84189701  -0.323099  -1.11252036e-04   2.69400505e-04   0.00000000e+00
  134.86233161  -0.322942   7.17281821e-05   2.69387304e-04   0.00000000e+00
  134.88276612  -0.322785  -7.24045303e-05   2.69359426e-04   0.00000000e+00
  134.90320062  -0.322628  -2.35445967e-04   2.69444878e-04   0.00000000e+00
  134.92363502  -0.322470  -1.19891421e-04   2.69428815e-04   0.00000000e+00
  134.94406963  -0.322313   3.75340858e-04   2.69371949e-04   0.00000000e+00
  134.96450413  -0.322156   3.45120344e-04   2.69302714e-04   0.00000000e+00
  134.98493854  -0.321999   4.24077290e-04   2.69415922e-04   0.00000000e+00
  135.00537314  -0.321841   2.27618228e-04   2.69252464e-04   0.00000000e+00
  135.02580764  -0.321684   3.88336096e-04   2.69331793e-04   0.00000000e+00
  135.04624205  -0.321527   1.50978289e-04   2.69269727e-04   0.00000000e+00
  135.06667655  -0.321370   6.33108829e-04   2.69045096e-04   0.00000000e+00
  135.08711115  -0.321212   8.35774229e-05   2.69138887e-04   0.00000000e+00
  135.10754556  -0.321055  -1.23219034e-04   2.69189629e-04   0.00000000e+00
  135.12798006  -0.320898  -1.36237169e-04   2.69348163e-04   0.00000000e+00
  135.14841466  -0.320741   2.05866104e-04   2.69211692e-04   0.00000000e+00
  135.16884917  -0.320583   4.97706555e-04   2.69180982e-04   0.00000000e+00
  135.18928357  -0.320426  -2.57502193e-04   2.69126455e-04   0.00000000e+00
  135.20971807  -0.320269   7.67632980e-04   2.69162550e-04   0.00000000e+00
  135.23015268  -0.320112   4.48905335e-06   2.69218923e-04   0.00000000e+00
  135.25058708  -0.319954  -1.90789597e-04   2.69220431e-04   0.00000000e+00
  135.27102158  -0.319797  -1.16954392e-04   2.69227109e-04   0.00000000e+00
  135.29145599  -0.319640   9.03054268e-05   2.69153503e-04   0.00000000e+00
  135.31189059  -0.319483   5.29347007e-05   2.69051096e-04   0.00000000e+00
  135.33232509  -0.319325  -3.66454589e-04   2.69198922e-04   0.00000000e+00
  135.35275950  -0.319168   1.61809956e-04   2.69053312e-04   0.00000000e+00
  135.37319410  -0.319011   1.20479446e-04   2.69293390e-04   0.00000000e+00
  135.39362860  -0.318853  -5.14589681e-05   2.69065189e-04   0.00000000e+00
  135.41406311  -0.318696  -3.83367839e-04   2.69087714e-04   0.00000000e+00
  135.43449751  -0.318539   8.64122096e-05   2.68967367e-04   0.00000000e+00
  135.45493211  -0.318382  -1.53158111e-04   2.69068544e-04   0.00000000e+00
  135.47536662  -0.318224  -2.81658260e-05   2.69245418e-04   0.00000000e+00
  135.49580102  -0.318067  -1.96154783e-04   2.69159011e-04   0.00000000e+00
  135.51623562  -0.317910   8.99580034e-04   2.69102331e-04   0.00000000e+00
  135.53667012  -0.317753   4.01298208e-04   2.69048296e-04   0.00000000e+00
  135.55710453  -0.317595   3.35643800e-05   2.69279666e-04   0.00000000e+00
  135.57753903  -0.317438  -4.14652937e-05   2.69073005e-04   0.00000000e+00
  135.59797363  -0.317281   2.05779176e-04   2.69128271e-04   0.00000000e+00
  135.61840804  -0.317124   4.74669449e-06   2.69056358e-04   0.00000000e+00
  135.63884254  -0.316966  -5.55198584e-05   2.69098207e-04   0.00000000e+00
  135.65927714  -0.316809  -5.82281306e-04   2.68931365e-04   0.00000000e+00
  135.67971164  -0.316652   3.03975754e-04   2.69078667e-04   0.00000000e+00
  135.70014605  -0.316495  -2.89093574e-04   2.69045680e-04   0.00000000e+00
  135.72058055  -0.316337   4.58161457e-06   2.69009462e-04   0.00000000e+00
  135.74101515  -0.316180  -1.09319539e-04   2.68974875e-04   0.00000000e+00
  135.76144955  -0.316023   9.29808037e-05   2.69045342e-04   0.00000000e+00
  135.78188406  -0.315866  -4.65109832e-04   2.68850190e-04   0.00000000e+00
  135.80231866  -0.315708   1.55131560e-04   2.69015155e-04   0.00000000e+00
  135.82275306  -0.315551   3.79949119e-04   2.69060328e-04   0.00000000e+00
  135.84318756  -0.315394  -1.38277753e-04   2.69041588e-04   0.00000000e+00
  135.86362207  -0.315237   3.37215034e-04   2.68928503e-04   0.00000000e+00
  135.88405657  -0.315079   1.31327601e-05   2.68938719e-04   0.00000000e+00
  135.90449107  -0.314922  -1.42668151e-04   2.68838620e-04   0.00000000e+00
  135.92492557  -0.314765  -1.04729752e-04   2.68751906e-04   0.00000000e+00
  135.94535998  -0.314608  -1.92501032e-04   2.68914194e-04   0.00000000e+00
  135.96579458  -0.314450   5.80339293e-04   2.68859637e-04   0.00000000e+00
  135.98622908  -0.314293  -1.37087227e-05   2.69011893e-04   0.00000000e+00
